               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.041985,           0.0058729,                   0,             0.90694,             0.80429,             0.85455,             0.42201,            0.042842,            0.006056,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.041859,           0.0056872,                   0,             0.90643,             0.79938,             0.85657,             0.42512,            0.042734,           0.0059609,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.042184,           0.0058245,                   0,             0.89803,             0.80828,             0.86034,             0.42166,            0.042905,           0.0060507,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.041448,           0.0057901,                   0,             0.90184,             0.81294,              0.8595,             0.42291,             0.04305,           0.0060028,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.041703,           0.0057102,                   0,             0.91034,             0.80603,             0.85759,             0.42503,            0.042863,           0.0060233,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.041828,           0.0057694,                   0,             0.90627,             0.81308,             0.85958,             0.42652,            0.042884,           0.0060381,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.041684,           0.0059033,                   0,             0.90415,             0.81102,             0.85875,             0.42661,            0.042607,           0.0060191,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.041558,           0.0056472,                   0,             0.91496,             0.80344,              0.8625,             0.43009,            0.042486,           0.0059481,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.041191,           0.0057235,                   0,             0.90584,             0.81174,             0.86324,              0.4312,            0.042512,           0.0059604,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.040765,           0.0057142,                   0,             0.90484,             0.81451,             0.86805,             0.43588,            0.042488,           0.0058992,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.040693,           0.0056445,                   0,             0.90398,             0.81827,             0.86981,             0.43659,            0.042252,           0.0059148,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.041231,           0.0056548,                   0,             0.90948,              0.8039,              0.8637,             0.43182,            0.042384,           0.0059564,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.040943,           0.0056038,                   0,             0.91115,              0.8042,             0.86232,             0.42977,            0.042356,           0.0059927,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.040832,           0.0056985,                   0,             0.91367,             0.80201,             0.86241,             0.42838,            0.042373,           0.0060443,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.040579,           0.0056659,                   0,             0.90615,             0.80287,             0.86039,             0.43084,            0.042383,           0.0060659,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.041268,           0.0056489,                   0,             0.91546,             0.79164,             0.85904,             0.42992,            0.042355,           0.0060575,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.040392,           0.0056582,                   0,             0.89908,             0.80577,             0.86194,             0.43064,            0.042359,           0.0060158,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.040567,           0.0055685,                   0,             0.90242,             0.80383,              0.8651,             0.43105,            0.042323,           0.0060365,                   0,           0.0089011,           0.0089011,           0.0089011
